modis,plu,nama,barcode
BRE02U02368,20097104,NEO/CF MCHNO 6+3X20G,8998866201988
BRE02U02368,20109015,NEO/C TRAMSU 6+3X20G,8998866202022
BRE02U02368,20099155,NEO/C CRML.MC 6+3X20,8998866202008
BRE02U02368,20124882,GD DUET MOCA'CRML 5S,8991002133334
BRE02U02368,20054633,INDOCAFE CPUCINO 10S,9311931029017
BRE02U02368,20097469,LUWAK WHT TRK MLK 6S,8994171101975
BRE02U02368,20125633,ABC GL AREN PCK 10'S,8991002101968
BRE02U02368,20103738,FRESCO CAPPUCCINO 9S,8991002109407
BRE02U02368,20042025,INDOCAFE MX 3IN1 10S,9311931024036
BRE02U02368,10036848,INDOCAFE CF.MIX30X20,9311931184075
BRE02U02368,20122407,CAFFINO DARK CPCN150,8991998113426
BRE02U02368,20106170,CAFFINO BOLD 5'S,8991998111828
BRE02U02368,20132337,CAFFINO CHOCMALT 6'S,8991998116724
BRE02U02368,20127836,CFFINO LTE CCONUT150,8991998114324
BRE02U02368,20097394,CAFFINO CHO.HZL 10'S,8991998110227
BRE02U02368,20031318,G/DAY CPUCINO 10X25G,8991002103764
BRE02U02368,20098168,PIKOPI 3IN1 PCK 9'S,8991002114012
BRE02U02368,20106371,PIKOPI MOCCACHINO 9S,8991002114074
BRE02U02368,20122406,PIKOPI GULA AREN 6+3,8991002114098
BRE02U02368,20093327,TORABIKA CAP PCK 10S,8996001414224
BRE02U02368,20100796,TORABIKA CRMY.LAT 10,8998666001375
BRE02U02368,20095226,TOP COFF CAPPCNO 6'S,8998866809696
BRE02U02368,20125383,TOP COFF AVOCADO 9'S,8998866203340
BRE02U02368,20107729,TOP COFF GL AREN 9'S,8998866202633
BRE02U02368,20112371,GADJAH KP.TUBRUK 138,8991998111767
BRE02U02368,20037159,LUWAK WHT ORGL 18X20,8994171101296
BRE02U02368,20036590,LUWAK WHT ORGL 9X20,8994171101371
BRE02U02368,20055300,LUWAK WHT 3RASA10X20,8994171101784
BRE02U02368,20073043,LUWAK WHT LESS 9'S,8994171102118
BRE02U02368,20046081,G/D 3IN1 MCCINO 10'S,8991002103238
BRE02U02368,20060371,G/DAY VNL.LATTE 10'S,8991002103337
BRE02U02368,20060370,G/DAY CHOCOCINO 10'S,8991002103832
BRE02U02368,20099141,EXCLSO RBST GOLD 200,8991002102132
BRE02U02368,10000304,K/API KOPI SPC.60GR,8991002105430
BRE02U02368,10008882,K/API KOPI SPCL 160G,8991002105423
BRE02U02368,10003873,K/API KOPI BUBUK 380,8991002105409
BRE02U02368,20098227,K/API KP.BBK SPC 380,8991002115477
BRE02U02368,20086181,KAPAL API SPC 20X6G,8991002105300
BRE02U02368,20131377,KPL API ONE+GULA 15S,8991002135178
BRE02U02368,20119091,K/A GL.AREN SM 10'S,8991002135024
BRE02U02368,20129093,GADJAH KP.TUBRUK 60G,8991998116366
BRE02U02368,10005302,NESCAFE CLASIC EKO45,8992696403413
BRE02U02368,20017575,NESCAFE CLSC 10X2G,8992696418370
BRE02U02368,10038932,KPL API SPC MIX 10'S,8991002105485
BRE02U02368,20002725,KPL API SPC.MIX 20'S,8991002105546
BRE02U02368,20127276,LWK KOPI MURNI 10+10,8994171102279
BRE02U02368,20125856,LUWAK KOPI MRN 2X120,8994171101715
BRE02U02368,20112372,GADJAH KP.TUBRUK 10S,8991998111422
BRE02U02368,10003922,ABC KP&GULA+SS.10X31,8991002101630
BRE02U02368,20023287,K/API MANTAP 8X25GR,8991002105645
BRE02U02368,10006712,K/API KOPI SUSU10X31,8991002105676
BRE02U02368,20041562,TOP COFFEE SUSU 10'S,8998866200714
BRE02U02368,20130895,T/C KPI SS GL.ARN 9S,8998866203852
BRE02U02368,20041523,FRESCO KOPI KS 10'S,8991002109148
BRE02U02368,20043807,FRESCO KOPI+GULA 9S,8991002109001
BRE02U02368,20067868,LUWAK KOPI+GULA 6'S,8994171102040
BRE02U02368,20053054,K/A SPC.M LES PCK10S,8991002106345
BRE02U02368,10025301,QUAKER OAT MERAH 800,9556174802212
BRE02U02368,10003828,QUAKER REF MERAH 200,9556174802236
BRE02U02368,20124962,QUAKER 3IN1 VAN 8'S,8997020180978
BRE02U02368,20129283,QUAKER 3IN1 COK 8'S,8997020181012
BRE02U02368,20001604,ENRGEN VAN PCK 10'S,8996001603031
BRE02U02368,20001605,ENRGEN CKLT PCK 10'S,8996001603024
BRE02U02368,20001606,ENERGEN KCNG.HJ 10'S,8996001603048
BRE02U02368,10036853,ENERGEN VNLA BOX 5'S,8886001100909
BRE02U02368,10003453,MAX CRMR KRM NBT 500,9311931183160
AMD01U02425,20061582,MADU TJ JYBEE JRK100,8993365150010
AMD01U02425,20122949,CEREBR SUP.GD ORG100,8992858518917
AMD01U02425,20094509,FITKOM GRAPE 21'S,8998777144138
AMD01U02425,10006069,SAKATONIK STR 30X800,8993218115012
AMD01U02425,10006565,TEMPRA T/PNS ANGR 60,117622
AMD01U02425,10023206,TERMOREX PLUS 60 ML,8998667300347
AMD01U02425,20128889,WYBRT HRBL BTK PLS60,8999908758408
AMD01U02425,20036752,C/LANG K/PTH ARMA 60,8993176111279
AMD01U02425,20062974,C/LANG EKALPT LVN 60,8993176720808
AMD01U02425,20106967,IDM MNYK KAYU PTH 52,8994096224339
AMD01U02425,20022903,H/PLAST KOYO HNGT10S,8999777765392
AMD01U02425,10037376,NATUR-E VIT ALMH 16,8999809400017
